tweet_id,user_id,retweet_from,user_name,user_location,user_location_cleaned,latitude,longitude,post_date,user_bio,believes_legitimate,tweet_text_body
http://twitter.com/UK_MYOB/statuses/902231623458017280 ,2827582710, None , MIndYourOwnBusiness , Basingstoke Hampshire ,"Basingstoke, UK ",51.262826,-1.0861976, 2017-08-28T18:09:16.000Z , Mind Your Own Business - The non rocket science workshops showing you how to start your business; nigh on for FREE . #startup #SmallBiz , False , Black Lives Matter Thugs Blocking Emergency Crews from Reaching Hurricane Harvey Victims Is Fake News: https://t.co/ER1aeKATA1
http://twitter.com/snopes/statuses/902230783561273347 ,357913947,14294848, Jane Skocdopole ," Alberta, Canada ","Alberta, Canada ",55.001251,-115.002136, 2017-08-28T18:05:56.000Z ," Canadian first, Albertan second. grow up people, name calling isn't getting us anywhere. Public library trustee. Comm. theatre director. ", False , RT @snopes: Black Lives Matter Thugs Blocked Emergency Crews from Reaching Hurricane Victims? https://t.co/o9jE9ZtyHz
http://twitter.com/socialbeesmedia/statuses/902231591656853504 ,910975728, None , Jenny Frances ," Granada, Spain ","Granada, Spain ",37.183054,-3.6021928, 2017-08-28T18:09:08.000Z , Social Media Marketing Consultant & Manager. Mompreneur.  Love chocolate cake and Dr Who , False , Black Lives Matter Thugs Blocking Emergency Crews from Reaching Hurricane Harvey Victims Is Fake News https://t.co/0Yy2oITmUz
http://twitter.com/PascoRevolution/statuses/902231600464883714 ,3317649485, None , Pasco Revolution ," Land O' Lakes, FL ","Land O' Lakes, FL ",28.2188992,-82.4575938, 2017-08-28T18:09:10.000Z ," Activism supporting social, environmental, & political causes for Pasco County, FL, USA & abroad. http://fb.me/pascorevolution ", False , snopes: Black Lives Matter Thugs Blocked Emergency Crews from Reaching Hurricane Victims? https://t.co/fqBfFAdtUl
http://twitter.com/mynotlaw/statuses/902232142557663232 ,1118130128, None , Anthony Walton ,  ,No Address ,0,0, 2017-08-28T18:11:20.000Z ," Activism supporting social, environmental, & political causes for Pasco County, FL, USA & abroad. http://fb.me/pascorevolution ", False , Black Lives Matter Thugs Blocking Emergency Crews from Reaching Hurricane Harvey Victims Is Fake News https://t.co/pg5tvm1UZD
http://twitter.com/snopes/statuses/902230783561273347 ,33539920,14294848, TERI ," Philadelphia, PA ","Philadelphia, PA ",39.9527237,-75.1635262, 2017-08-28T18:05:56.000Z ," I'm a diehard Philly sports fan.  I tell it like it is so if you don't have thick skin, don't follow me. #BlackLivesMatter ", False , RT @snopes: Black Lives Matter Thugs Blocked Emergency Crews from Reaching Hurricane Victims? https://t.co/o9jE9ZtyHz
http://twitter.com/B2C_News/statuses/902232369574404097 ,1486275512, None , B2C World News ," Philadelphia, PA ","Philadelphia, PA ",39.9527237,-75.1635262, 2017-08-28T18:12:14.000Z , Get the latest news / trends from around the world from @B2Community. , False , Black Lives Matter Thugs Blocking Emergency Crews from Reaching Hurricane Harvey Victims https://t.co/FryJ6eijZR
http://twitter.com/snopes/statuses/902230783561273347 ,246068248,14294848, Bill Gapes ," Rock Island, IL ","Rock Island, IL ",41.4411786,-90.5766144, 2017-08-28T18:05:56.000Z , Tweet Tweet. I'm a Twit. #Hashtag (Art/Music/Shade) , False , RT @snopes: Black Lives Matter Thugs Blocked Emergency Crews from Reaching Hurricane Victims? https://t.co/o9jE9ZtyHz
http://twitter.com/snopes/statuses/902230783561273347 ,2230176678,14294848, Charlie Campbell ,  ,No Address ,0,0, 2017-08-28T18:05:56.000Z ," Zim, Zappa, Zizou, Bulls, Barca, Beck ", False , RT @snopes: Black Lives Matter Thugs Blocked Emergency Crews from Reaching Hurricane Victims? https://t.co/o9jE9ZtyHz
http://twitter.com/erica_abbott/statuses/902231005116891138 ,208354728,327469177, James Crowell , Douglassville ,"Douglassville, Pennsylvania ",40.2578714,-75.7263008, 2017-08-28T18:06:48.000Z ," Proud @CabriniUniv/@CabriniCom Alum.  Former @Loqwitter News Editor, Videojournalist/Post-Production at @LOQationNews & @WYBF-FM DJ. ", False , RT @erica_abbott: Black Lives Matter Thugs Blocking Emergency Crews from Reaching Hurricane Harvey Victims Is Fake News https://t.co/lcaF
http://twitter.com/snopes/statuses/902230783561273347 ,43997074,14294848, Reverend Chapman ," Portland, OR ","Portland, OR ",45.5202471,-122.6741949, 2017-08-28T18:05:56.000Z , A jack of all trades living in Portland , False , RT @snopes: Black Lives Matter Thugs Blocked Emergency Crews from Reaching Hurricane Victims? https://t.co/o9jE9ZtyHz
http://twitter.com/VictorMiranda30/statuses/902232799318384646 ,367506318, None , politic everywhere ,  ,No Address ,0,0, 2017-08-28T18:13:56.000Z , A jack of all trades living in Portland , False , Black Lives Matter Thugs Blocked Emergency Crews from Reaching Hurricane Victims? https://t.co/tSPzS8T7H9 https://t.co/NbdZ17MLhT
http://twitter.com/snopes/statuses/902230783561273347 ,14654171,14294848, Riggleton , Southern California ,California ,36.7014631,-118.7559974, 2017-08-28T18:05:56.000Z ," Interests are Cats, Alcohol, Science, The incessant void of being human, Baby cats. ", False , RT @snopes: Black Lives Matter Thugs Blocked Emergency Crews from Reaching Hurricane Victims? https://t.co/o9jE9ZtyHz
http://twitter.com/ricardowec/statuses/902232690774159360 ,58554518, None , Ricardo Wagner , USA - Ecuador ,USA ,39.7837304,-100.4458825, 2017-08-28T18:13:30.000Z , TECNOLOGIA DE INFORMACION - Consultor - Analista - Micro Blogger - Mobile - Proyectos - Social Media - Reputacion de Marca  -            +593 980953653 , False , Black Lives Matter Thugs Blocking Emergency Crews from Reaching Hurricane Harvey Victims Is Fake News https://t.co/T8pOb0RnO6
http://twitter.com/VictorMiranda30/statuses/902232791177240576 ,367506318, None , politic everywhere ,  ,No Address ,0,0, 2017-08-28T18:13:54.000Z , TECNOLOGIA DE INFORMACION - Consultor - Analista - Micro Blogger - Mobile - Proyectos - Social Media - Reputacion de Marca  -            +593 980953653 , False , Black Lives Matter Thugs Blocked Emergency Crews from Reaching Hurricane Victims? https://t.co/tSPzS8T7H9 https://t.co/RaMzCzMgNd
